Plot_ID,Location_Name,Subplot_ID,Layer_Type,Species_or_Category,Count_or_Cover%,Avg_Height_cm,Notes
P01,MIT WPU Medicine Garden,SP1,Herb,Mixed Herbs,28,20,"Mixed herb layer, variable"
P01,MIT WPU Medicine Garden,SP1,Grass,Mixed Grasses,28,6,Live
P01,MIT WPU Medicine Garden,SP1,Litter,Decomposing Matter,21,3,Seasonal leaf litter
P01,MIT WPU Medicine Garden,SP1,Bare Soil,Bare Ground,35,0,Exposed surface
P01,MIT WPU Medicine Garden,SP2,Herb,Mixed Herbs,25,6,"Mixed herb layer, variable"
P01,MIT WPU Medicine Garden,SP2,Grass,Mixed Grasses,18,6,Live
P01,MIT WPU Medicine Garden,SP2,Litter,Decomposing Matter,18,0,Seasonal leaf litter
P01,MIT WPU Medicine Garden,SP2,Bare Soil,Bare Ground,45,0,Exposed surface
P01,MIT WPU Medicine Garden,SP3,Herb,Mixed Herbs,15,19,"Mixed herb layer, variable"
P01,MIT WPU Medicine Garden,SP3,Grass,Mixed Grasses,21,11,Live
P01,MIT WPU Medicine Garden,SP3,Litter,Decomposing Matter,14,1,Seasonal leaf litter
P01,MIT WPU Medicine Garden,SP3,Bare Soil,Bare Ground,55,0,Exposed surface
P01,MIT WPU Medicine Garden,SP4,Herb,Mixed Herbs,41,15,"Mixed herb layer, variable"
P01,MIT WPU Medicine Garden,SP4,Grass,Mixed Grasses,15,12,Live
P01,MIT WPU Medicine Garden,SP4,Litter,Decomposing Matter,46,4,Seasonal leaf litter
P01,MIT WPU Medicine Garden,SP4,Bare Soil,Bare Ground,-4,0,Exposed surface
P02,Eco-Park,SP1,Herb,Mixed Herbs,13,14,"Mixed herb layer, variable"
P02,Eco-Park,SP1,Grass,Mixed Grasses,32,24,Live
P02,Eco-Park,SP1,Litter,Decomposing Matter,17,0,Seasonal leaf litter
P02,Eco-Park,SP1,Bare Soil,Bare Ground,46,0,Exposed surface
P02,Eco-Park,SP2,Herb,Mixed Herbs,19,20,"Mixed herb layer, variable"
P02,Eco-Park,SP2,Grass,Mixed Grasses,26,14,Live
