Plot,Quadrant,ID,Type,Number,Species,Girth_cm_Stem1,Girth_cm_Stem2,Girth_cm_Stem3,Height_m,Location_Name,Condition,GBH_Stem3_cm,GBH_Stem4_cm,GBH_Stem5_cm,GBH_Stem6_cm,Remarks,Total_GBH_cm,Subplot_ID,Notes,DBH1_cm,DBH2_cm,DBH3_cm,Effective_DBH_cm,Wood_Density_g_cm3,AGB_M1_kg,Carbon_Stock_M1_kg,CO2_Eq_M1_kg,AGB_M2_kg,Carbon_Stock_M2_kg,CO2_Eq_M2_kg
Plot-P01,Q1,T1,Tree,1,Pongamia pinnata (Karanj),15.0,0.0,,4.1,MIT WPU Medicine Garden,Live,0.0,0.0,0.0,0.0,Live,15.2,,,4.7746482927568605,0.0,,4.7746482927568605,0.62,3.5380175553352107,2.0952139962695115,7.682451319654875,15.946564739330903,9.44355563863176,34.62637067498312
Plot-P01,Q2,T2,Tree,1,Ficus racemosa,99.0,0.0,,13.9,MIT WPU Medicine Garden,Live,0.0,0.0,0.0,0.0,Live,99.1,,,31.51267873219528,0.0,,31.51267873219528,0.48,361.0208673833657,213.79655766442917,783.9207114362403,2392.947338846861,1417.1034140651109,5196.045851572073
Plot-P01,Q2,T3,Tree,1,Pongamia pinnata (Karanj),40.8,0.0,,8.3,MIT WPU Medicine Garden,Live,0.0,0.0,0.0,0.0,Live,41.0,,,12.98704335629866,0.0,,12.98704335629866,0.62,49.65713490177434,29.406955288830765,107.82550272571281,204.47567499059585,121.09049472943087,443.99848067457987
Plot-P01,Q2,T4,Tree,1,Ficus racemosa,103.5,0.0,,11.5,MIT WPU Medicine Garden,Live,0.0,0.0,0.0,0.0,Live,103.6,,,32.94507322002234,0.0,,32.94507322002234,0.48,327.24620239821553,193.79520106022323,710.5824038874852,2670.0959358020186,1581.2308131819555,5797.846315000503
Plot-P01,Q2,T5,Tree,1,Pongamia pinnata (Karanj),48.5,28.0,,7.0,MIT WPU Medicine Garden,Live,35.0,0.0,0.0,0.0,Live,68.0,,,15.438029479913848,8.91267681314614,,17.826064125271227,0.62,78.03066477596477,46.209759680326336,169.43578549452988,452.8020433411375,268.1493700666216,983.2143569109459
Plot-P01,Q3,T6,Tree,1,Moringa oleifera (Indian drumstick),90.0,0.0,,9.5,MIT WPU Medicine Garden,Live,0.0,0.0,0.0,0.0,Live,90.0,,,28.64788975654116,0.0,,28.64788975654116,0.62,265.3948058534609,157.16680402641956,576.278281430205,1473.09373645971,872.3661107314402,3198.675739348614
Plot-P01,Q4,T7,Tree,1,Pongamia pinnata (Karanj),85.5,39.0,,7.5,MIT WPU Medicine Garden,Live,47.0,0.0,0.0,0.0,Live,105.2,,,27.215495268714104,12.414085561167836,,29.913085816100544,0.62,229.26103127134013,135.7683827188876,497.8174033025879,1639.11315018378,970.6828075388345,3559.1702943090595
Plot-P02,Q1,T8,Tree,1,Azadirachta indica (Neem),84.0,0.0,,11.0,Eco-Park,Live,0.0,0.0,0.0,0.0,Live,84.3,,,26.73803043943842,0.0,,26.73803043943842,0.62,267.636430361626,158.4942940601549,581.1457448872346,1241.9053860408114,735.4563696133686,2696.673355249018
Plot-P02,Q1,T9,Tree,1,Caesalpinia pulcherrima,48.5,0.0,,4.0,Eco-Park,Live,0.0,0.0,0.0,0.0,Live,48.6,,,15.438029479913848,0.0,,15.438029479913848,0.6,33.05464965019186,19.574963522843618,71.7748662504266,326.08695728553835,193.10869610449578,708.0652190498179
Plot-P02,Q2,T10,Tree,1,Hibiscus rosa-sinensis,40.0,0.0,,1.8,Eco-Park,Live,0.0,0.0,0.0,0.0,Live,40.2,,,12.732395447351628,0.0,,12.732395447351628,0.5,8.712450125891634,5.159512964553025,18.918214203361092,239.96421381720924,142.10680742255133,521.0582938826882
