Plot_ID,Location_Name,Quad_ID,Species_Scientific,Growth_Form,Tree_ID,Height_m,Condition,GBH_Stem1_cm,GBH_Stem2_cm,GBH_Stem3_cm,GBH_Stem4_cm,GBH_Stem5_cm,GBH_Stem6_cm,Remarks,Total_GBH_cm
P01,MIT WPU Medicine Garden,Q1,Pongamia pinnata (Karanj),Tree,T1,4.1,Live,15.0,0.0,0.0,0.0,0,0,Live,15.2
P01,MIT WPU Medicine Garden,Q2,Ficus racemosa,Tree,T2,13.9,Live,99.0,0.0,0.0,0.0,0,0,Live,99.1
P01,MIT WPU Medicine Garden,Q2,Pongamia pinnata (Karanj),Tree,T3,8.3,Live,40.8,0.0,0.0,0.0,0,0,Live,41.0
P01,MIT WPU Medicine Garden,Q2,Ficus racemosa,Tree,T4,11.5,Live,103.5,0.0,0.0,0.0,0,0,Live,103.6
P01,MIT WPU Medicine Garden,Q2,Pongamia pinnata (Karanj),Tree,T5,7.0,Live,48.5,28.0,35.0,0.0,0,0,Live,68.0
P01,MIT WPU Medicine Garden,Q3,Moringa oleifera (Indian drumstick),Tree,T6,9.5,Live,90.0,0.0,0.0,0.0,0,0,Live,90.0
P01,MIT WPU Medicine Garden,Q4,Pongamia pinnata (Karanj),Tree,T7,7.5,Live,85.5,39.0,47.0,0.0,0,0,Live,105.2
P02,Eco-Park,Q1,Azadirachta indica (Neem),Tree,T8,11.0,Live,84.0,0.0,0.0,0.0,0,0,Live,84.3
P02,Eco-Park,Q1,Caesalpinia pulcherrima,Tree,T9,4.0,Live,48.5,0.0,0.0,0.0,0,0,Live,48.6
P02,Eco-Park,Q2,Hibiscus rosa-sinensis,Tree,T10,1.8,Live,40.0,0.0,0.0,0.0,0,0,Live,40.2
P02,Eco-Park,Q2,Hibiscus rosa-sinensis,Tree,T11,1.5,Live,30.5,0.0,0.0,0.0,0,0,Live,30.6
P02,Eco-Park,Q2,Hibiscus rosa-sinensis,Tree,T12,3.0,Dead,59.5,23.5,16.5,20.0,0,0,Live,69.9
P02,Eco-Park,Q2,Hibiscus rosa-sinensis,Tree,T13,2.5,Live,28.5,0.0,0.0,0.0,0,0,Live,28.7
P02,Eco-Park,Q3,Hibiscus rosa-sinensis,Tree,T14,2.0,Live,18.5,0.0,0.0,0.0,0,0,Live,18.8
P02,Eco-Park,Q3,Hibiscus rosa-sinensis,Tree,T15,1.0,Live,21.0,0.0,0.0,0.0,0,0,Live,21.3
P02,Eco-Park,Q3,Hibiscus rosa-sinensis,Tree,T16,2.0,Live,18.5,0.0,0.0,0.0,0,0,Live,18.8
P02,Eco-Park,Q3,Azadirachta indica (Neem),Tree,T17,12.5,Live,60.0,0.0,0.0,0.0,0,0,Live,60.3
P02,Eco-Park,Q3,Hibiscus rosa-sinensis,Tree,T18,2.0,Live,20.5,0.0,0.0,0.0,0,0,Live,20.8
P02,Eco-Park,Q3,Hibiscus rosa-sinensis,Tree,T19,2.5,Live,52.5,17.5,22.0,14.5,0,0,Live,59.3
P02,Eco-Park,Q3,Hibiscus rosa-sinensis,Tree,T20,1.5,Live,19.0,0.0,0.0,0.0,0,0,Live,19.2
P02,Eco-Park,Q3,Hibiscus rosa-sinensis,Tree,T21,2.5,Live,51.5,21.5,14.5,16.5,0,0,Live,57.1
P02,Eco-Park,Q3,Hibiscus rosa-sinensis,Tree,T22,2.5,Live,51.5,22.0,16.5,15.0,0,0,Live,62.6
P02,Eco-Park,Q4,Caesalpinia pulcherrima,Tree,T23,4.0,Live,19.0,18.5,24.0,0.0,0,0,Live,34.6
P02,Eco-Park,Q4,Caesalpinia pulcherrima,Tree,T24,4.5,Live,41.0,0.0,0.0,0.0,0,0,Live,41.2
P02,Eco-Park,Q4,Caesalpinia pulcherrima,Tree,T25,2.5,Live,26.0,10.0,15.5,0.0,0,0,Live,31.9
P03,ARAI Hills I,Q1,Gliricidia sepium,Tree,T26,8.5,Live,56.5,33.0,42.0,0.0,0,0,Live,76.7
P03,ARAI Hills I,Q2,Gliricidia sepium,Tree,T27,7.0,Live,45.5,0.0,0.0,0.0,0,0,Live,45.6
P03,ARAI Hills I,Q2,Boswellia serrata,Tree,T28,10.0,Live,79.0,0.0,0.0,0.0,0,0,"Leaf fall initiating, canopy thinning",79.2
P03,ARAI Hills I,Q3,Terminalia elliptica (Ain),Tree,T29,16.5,Live,135.0,46.0,0.0,0.0,0,0,Live,142.3
P03,ARAI Hills I,Q4,Anogeissus latifolia,Tree,T30,8.0,Live,50.0,53.0,68.5,60.0,0,0,Live,119.0
P04,ARAI Hills II,Q1,Gliricidia sepium,Tree,T31,12.0,Live,171.0,52.0,71.5,49.0,0,0,Live,204.5
P04,ARAI Hills II,Q2,Gliricidia sepium,Tree,T32,6.5,Live,41.0,0.0,0.0,0.0,0,0,Live,41.0
P04,ARAI Hills II,Q3,Boswellia serrata,Tree,T33,13.5,Live,89.0,0.0,0.0,0.0,0,0,"Leaf fall initiating, canopy thinning",89.3
P04,ARAI Hills II,Q4,Ficus racemosa,Tree,T34,19.0,Live,219.0,65.0,82.0,75.5,0,0,Live,258.5
P05,Panshet Backwaters,Q1,Syzygium cumini (Jambul),Tree,T35,15.5,Live,125.5,0.0,0.0,0.0,0,0,Live,125.8
P05,Panshet Backwaters,Q1,Terminalia elliptica (Ain),Tree,T36,17.5,Live,143.0,0.0,0.0,0.0,0,0,Live,143.1
P05,Panshet Backwaters,Q1,Ficus racemosa,Tree,T37,12.0,Live,99.0,0.0,0.0,0.0,0,0,Live,99.0
P05,Panshet Backwaters,Q2,Garcinia indica (Kokum),Tree,T38,11.0,Live,68.5,0.0,0.0,0.0,0,0,Live,68.8
P05,Panshet Backwaters,Q2,Phyllanthus emblica (Amla),Tree,T39,10.0,Live,53.0,0.0,0.0,0.0,0,0,Live,53.1
P05,Panshet Backwaters,Q2,Mangifera indica,Tree,T40,18.5,Live,166.0,0.0,0.0,0.0,0,0,Live,166.3
P05,Panshet Backwaters,Q3,Ficus benghalensis,Tree,T41,20.0,Live,187.5,0.0,0.0,0.0,0,0,Live,187.7
P05,Panshet Backwaters,Q3,Alstonia scholaris,Tree,T42,14.5,Live,76.0,0.0,0.0,0.0,0,0,Live,76.2
P05,Panshet Backwaters,Q4,Mallotus philippensis,Tree,T43,10.0,Live,43.0,0.0,0.0,0.0,0,0,Live,43.3
P05,Panshet Backwaters,Q4,Syzygium caryophyllatum,Tree,T44,13.0,Live,89.0,0.0,0.0,0.0,0,0,Live,89.1
P06,Chande Village,Q1,Pongamia pinnata (Karanj),Tree,T45,11.0,Live,65.5,0.0,0.0,0.0,0,0,Live,65.8
P06,Chande Village,Q1,Tectona grandis (teak),Tree,T46,11.5,Live,88.5,0.0,0.0,0.0,0,0,Live,88.8
P06,Chande Village,Q1,Gliricidia sepium,Tree,T47,7.5,Live,38.0,0.0,0.0,0.0,0,0,Live,38.1
P06,Chande Village,Q1,Tectona grandis (teak),Tree,T48,14.0,Live,95.0,0.0,0.0,0.0,0,0,Live,95.1
P06,Chande Village,Q2,Acacia nilotica,Tree,T49,8.0,Live,31.0,0.0,0.0,0.0,0,0,Live,31.2
P06,Chande Village,Q3,Pongamia pinnata (Karanj),Tree,T50,13.5,Live,77.5,0.0,0.0,0.0,0,0,Live,77.5
P06,Chande Village,Q3,Gliricidia sepium,Tree,T51,10.5,Live,37.0,0.0,0.0,0.0,0,0,Live,37.1
P06,Chande Village,Q4,Tectona grandis (teak),Tree,T52,14.0,Live,96.0,0.0,0.0,0.0,0,0,Live,96.3
P06,Chande Village,Q4,Ficus religiosa,Tree,T53,16.5,Live,126.0,0.0,0.0,0.0,0,0,Live,126.2
P07,Warje Hills I,Q1,Gliricidia sepium,Tree,T54,7.0,Live,43.0,0.0,0.0,0.0,0,0,Live,43.2
P07,Warje Hills I,Q2,Pongamia pinnata (Karanj),Tree,T55,11.5,Live,95.5,0.0,0.0,0.0,0,0,Live,95.8
P07,Warje Hills I,Q3,Anogeissus latifolia,Tree,T56,14.0,Live,111.0,0.0,0.0,0.0,0,0,Live,111.3
P07,Warje Hills I,Q4,Dalbergia latifolia,Tree,T57,10.0,Live,80.5,0.0,0.0,0.0,0,0,Live,81.0
P08,Warje Hills II,Q1,Boswellia serrata,Tree,T58,16.0,Live,131.0,0.0,0.0,0.0,0,0,"Leaf fall initiating, canopy thinning",131.1
P08,Warje Hills II,Q2,Tectona grandis,Tree,T59,15.5,Live,126.0,0.0,0.0,0.0,0,0,Live,126.2
